file,title,author,licenses,source_page,size_bytes
bulk/music-for-video-games/Drum&Bass chill out sounds of wales (Proyecto de Drum&Bass 6)_0.mp3,Music for video games,3k m,CC-BY 3.0,https://opengameart.org/content/music-for-video-games,2124348
bulk/happy-bgm-100116/100116happybgm.wav,happy bgm 10/01/16,syncopika,CC-BY 3.0,https://opengameart.org/content/happy-bgm-100116,14875692
bulk/rpg-ambient-3/RPG Ambient 3.mp3,RPG Ambient 3,Hitctrl,CC-BY 3.0,https://opengameart.org/content/rpg-ambient-3,7686186
bulk/rpg-ambient-3/RPG_Ambient_3.ogg,RPG Ambient 3,Hitctrl,CC-BY 3.0,https://opengameart.org/content/rpg-ambient-3,2434258
bulk/electronic-music-pack/Szymon Matuszewski - Avalanche.mp3,Electronic Music Pack,Szymon Matuszewski,CC-BY 3.0,https://opengameart.org/content/electronic-music-pack,4623743
bulk/electronic-music-pack/Szymon Matuszewski - Art.mp3,Electronic Music Pack,Szymon Matuszewski,CC-BY 3.0,https://opengameart.org/content/electronic-music-pack,8065532
bulk/electronic-music-pack/Szymon Matuszewski - Drop.mp3,Electronic Music Pack,Szymon Matuszewski,CC-BY 3.0,https://opengameart.org/content/electronic-music-pack,6273845
bulk/electronic-music-pack/Szymon Matuszewski - First.mp3,Electronic Music Pack,Szymon Matuszewski,CC-BY 3.0,https://opengameart.org/content/electronic-music-pack,6746975
bulk/canon-in-d-chill-arrange/031019canonindchillarrange.wav,canon in D chill arrange,syncopika,CC0,https://opengameart.org/content/canon-in-d-chill-arrange,20727852
bulk/electronic-music-pack/Demo - EMP.mp3,Electronic Music Pack,Szymon Matuszewski,CC-BY 3.0,https://opengameart.org/content/electronic-music-pack,2254588
bulk/electronic-music-pack/Szymon Matuszewski - X & Y_0.mp3,Electronic Music Pack,Szymon Matuszewski,CC-BY 3.0,https://opengameart.org/content/electronic-music-pack,4636072
bulk/electronic-music-pack/Szymon Matuszewski - Octopus.mp3,Electronic Music Pack,Szymon Matuszewski,CC-BY 3.0,https://opengameart.org/content/electronic-music-pack,4392402
bulk/electronic-music-pack/Szymon Matuszewski - X & Y (extended version).mp3,Electronic Music Pack,Szymon Matuszewski,CC-BY 3.0,https://opengameart.org/content/electronic-music-pack,9344382
bulk/action-packed-jazz-chiptune/Jazz Chiptune_0.mp3,Action Packed Jazz Chiptune,Pro Sensory,CC0,https://opengameart.org/content/action-packed-jazz-chiptune,2205849
bulk/action-packed-jazz-chiptune/Jazz Chiptune_0.ogg,Action Packed Jazz Chiptune,Pro Sensory,CC0,https://opengameart.org/content/action-packed-jazz-chiptune,1333658
bulk/signaling-the-beam-porcupus-davidkbd-outer123/signalingthebeammix_0.ogg,Signaling the beam (Porcupus & DavidKBD & Outer123),glitchart,CC-BY 4.0; CC0,https://opengameart.org/content/signaling-the-beam-porcupus-davidkbd-outer123,6786099
bulk/gameboy-fight-in-the-dungeon/Fight in the Dungeon_0.mp3,Gameboy Fight in the Dungeon,Bogart VGM,CC-BY 4.0,https://opengameart.org/content/gameboy-fight-in-the-dungeon,2622528
bulk/chill-bgm/chillbgm022114_1.mp3,chill bgm,syncopika,CC-BY 3.0,https://opengameart.org/content/chill-bgm,4975713
bulk/barriers/barriers_0.mp3,Barriers,Zane Little Music,CC0,https://opengameart.org/content/barriers,7064829
bulk/strange-dnb-piano-theme/At 5'pm (promodj.com).mp3,Strange d'n'b piano theme,obscure music,CC0; Public Domain,https://opengameart.org/content/strange-dnb-piano-theme,9387648
bulk/piece-of-techno-music/techno.wav,Piece of techno music,plemuzic,CC0,https://opengameart.org/content/piece-of-techno-music,19798106
bulk/chill-bgm/chillbgm022114.wav,chill bgm,syncopika,CC-BY 3.0,https://opengameart.org/content/chill-bgm,21938220
bulk/3-chords-electronic/3 Chords(Electronic).mp3,3 Chords (Electronic),Pro Sensory,CC0,https://opengameart.org/content/3-chords-electronic,5426225
bulk/core-descent-16-bit/Core Descent (16-bit) v0_9.mp3,Core Descent (16-bit),FoxSynergy,CC-BY 3.0,https://opengameart.org/content/core-descent-16-bit,3735137
bulk/main-street-pixelvillev001-looping/main-street-pixelville_v001_0.mp3,Main Street Pixelville_V001 (Looping),Eric Matyas,CC-BY 4.0,https://opengameart.org/content/main-street-pixelvillev001-looping,1619921
bulk/free-cinematic-atmospheric-guitar-music/dive.flac,"Free Cinematic, Atmospheric Guitar Music",Porcupus,CC-BY 4.0,https://opengameart.org/content/free-cinematic-atmospheric-guitar-music,10527532
bulk/simple-action-beat/SimpleBeat_0.mp3,Simple Action Beat,LushoGames,CC0,https://opengameart.org/content/simple-action-beat,4802350
bulk/ninja-anthem-edm-beat/dova_Cooler Ninjari Ninjarous miaster.mp3,Ninja Anthem EDM Beat,ISAo,OGA-BY 3.0,https://opengameart.org/content/ninja-anthem-edm-beat,1676927
bulk/the-road-of-the-moor-nes-version/The Road of the Moor NES.wav,The Road of the Moor (NES Version),Snabisch,CC-BY 3.0,https://opengameart.org/content/the-road-of-the-moor-nes-version,15189248
bulk/final-hour/Final-Hour-isaiah658.ogg,Final Hour,isaiah658,CC0; Public Domain,https://opengameart.org/content/final-hour,2662362
bulk/epic-amulet-item/133008__cosmicd__annulet-of-absorption.wav,Epic Amulet Item,?,CC-BY 3.0,https://opengameart.org/content/epic-amulet-item,2365550
bulk/final-hour/Final-Hour-isaiah658_0.mp3,Final Hour,isaiah658,CC0; Public Domain,https://opengameart.org/content/final-hour,2192194
bulk/soul-vibes-chill-trance/fato_shadow_-_soul_vibes_0.mp3,"Soul Vibes (Chill, Trance)",Fato_Shadow_Music,CC-BY 3.0; CC-BY 4.0,https://opengameart.org/content/soul-vibes-chill-trance,2490294
bulk/peaceful-village-16-bit/Peaceful Village_0.mp3,Peaceful Village (16-bit),jkfite01,CC-BY 3.0,https://opengameart.org/content/peaceful-village-16-bit,7424640
bulk/flutenist-dance-3/Flutenist Dance 3_0.ogg,Flutenist Dance 3,Spring Spring,CC0,https://opengameart.org/content/flutenist-dance-3,2366768
bulk/soul-vibes-chill-trance/fato_shadow_-_soul_vibes.ogg,"Soul Vibes (Chill, Trance)",Fato_Shadow_Music,CC-BY 3.0; CC-BY 4.0,https://opengameart.org/content/soul-vibes-chill-trance,5402374
bulk/cc0-mystery/mystery exploration.mp3,CC0 - Mystery,PolygonDan,CC0,https://opengameart.org/content/cc0-mystery,1526733
bulk/etude-2-classical-guitar/Etude 2_0.mp3,Etude 2 (Classical Guitar),professorlamp,CC-BY 3.0,https://opengameart.org/content/etude-2-classical-guitar,1317857
bulk/boss-fight-0/bosstheme_WO_low_0.mp3,Boss Fight,Lisboa,CC0,https://opengameart.org/content/boss-fight-0,2068550
bulk/action-synth-track/Notathing2.mp3,Action synth track,PetterTheSturgeon,CC-BY 3.0; CC-BY 4.0; CC-BY-SA 3.0; CC-BY-SA 4.0; GPL 2.0; GPL 3.0; OGA-BY 3.0,https://opengameart.org/content/action-synth-track,6586070
bulk/cyber-celeste-remix/cyberceleste_-_gttm_-_remix_loop.mp3,Cyber Celeste remix,Bobjt,CC-BY 4.0,https://opengameart.org/content/cyber-celeste-remix,905056
bulk/random-battle/Random Battle.mp3,Random Battle,controllerhead,CC0; Public Domain,https://opengameart.org/content/random-battle,879890
bulk/cyber-celeste-remix/cyberceleste_-_gttm_-_remix_with_tail.mp3,Cyber Celeste remix,Bobjt,CC-BY 4.0,https://opengameart.org/content/cyber-celeste-remix,980416
bulk/cyber-celeste-remix/cyberceleste_-_gttm_-_remix_loop.ogg,Cyber Celeste remix,Bobjt,CC-BY 4.0,https://opengameart.org/content/cyber-celeste-remix,1587125
bulk/cyber-celeste-remix/cyberceleste_-_gttm_-_remix_with_tail.ogg,Cyber Celeste remix,Bobjt,CC-BY 4.0,https://opengameart.org/content/cyber-celeste-remix,1642054
bulk/final-hour/Final-Hour-isaiah658.wav,Final Hour,isaiah658,CC0; Public Domain,https://opengameart.org/content/final-hour,24156254
bulk/sci-fi-electronic-lost-signal/Lost signal main theme (WIP).mp3,Sci-Fi electronic [lost signal],PetterTheSturgeon,CC-BY 3.0,https://opengameart.org/content/sci-fi-electronic-lost-signal,2235662
bulk/arcade-space-adventures/Arcade Space Adventures_4.mp3,Arcade Space Adventures,Eric Matyas,CC-BY 4.0,https://opengameart.org/content/arcade-space-adventures,2986701
bulk/tyhosi-asian-sparrow-4-kimono-market-zone/asiansparrow4_0.ogg,Tyhosi Asian Sparrow 4 Kimono Market Zone,Tozan,CC0,https://opengameart.org/content/tyhosi-asian-sparrow-4-kimono-market-zone,519068
bulk/rpg-simple-shop-16-bit/RPG Simple Shop v1_0 (16-bit).mp3,RPG Simple Shop (16-bit),FoxSynergy,CC-BY 3.0,https://opengameart.org/content/rpg-simple-shop-16-bit,1208608
bulk/cyber-power-bogart-vgm-tricksntraps/cyberpowermix_0.ogg,Cyber Power (Bogart VGM & TricksNTraps),glitchart,CC-BY 4.0; CC0,https://opengameart.org/content/cyber-power-bogart-vgm-tricksntraps,6196608
bulk/underwater-exploration/underwater_exploration_0.mp3,Underwater Exploration,tcarisland,CC-BY 4.0,https://opengameart.org/content/underwater-exploration,5300196
bulk/title-theme/Title Theme_0.mp3,Title Theme,Jonathan So,CC0,https://opengameart.org/content/title-theme,1723158
bulk/happy-synths-loop-with-slight-christmas-feeling/Christmas synths.ogg,Happy synths loop with slight christmas feeling,3xBlast,CC0; Public Domain,https://opengameart.org/content/happy-synths-loop-with-slight-christmas-feeling,3404564
bulk/title-theme/Title Theme.wav,Title Theme,Jonathan So,CC0,https://opengameart.org/content/title-theme,3792644
bulk/sad-song/a(sad_song).mp3,Sad Song,mvrasseli,CC-BY 3.0,https://opengameart.org/content/sad-song,3290664
bulk/little-girl-saying-game-over/horror-go_0.mp3,Little Girl saying Game Over,freestockimages,CC0,https://opengameart.org/content/little-girl-saying-game-over,52719
bulk/this-is-the-funny-song-c64-chiptune/this_is_the_funny_song_0.mp3,This Is The Funny Song (C64 Chiptune),skrjablin,CC0; Public Domain,https://opengameart.org/content/this-is-the-funny-song-c64-chiptune,3366785
bulk/poppy-electro-track/electro1_cut.mp3,Poppy Electro Track,TinyWorlds,CC-BY 3.0,https://opengameart.org/content/poppy-electro-track,1909359
bulk/kb-chiptune-final/KB-Chiptune FInal_0.mp3,KB-Chiptune FInal,kbmsfx,GPL 2.0; GPL 3.0; OGA-BY 3.0,https://opengameart.org/content/kb-chiptune-final,6150186
bulk/hitctrl-happy-pixie-town/HitCtrl - Happy Pixie Town.ogg,HitCtrl - Happy Pixie Town,Hitctrl,CC-BY 3.0,https://opengameart.org/content/hitctrl-happy-pixie-town,1098707
bulk/checkers-0/checkers_2.ogg,Checkers,Spring Spring,CC-BY 3.0; CC-BY 4.0; CC-BY-SA 3.0; CC-BY-SA 4.0; OGA-BY 3.0; OGA-BY 4.0,https://opengameart.org/content/checkers-0,7219079
bulk/hitctrl-happy-pixie-town/HitCtrl - Happy Pixie Town.mp3,HitCtrl - Happy Pixie Town,Hitctrl,CC-BY 3.0,https://opengameart.org/content/hitctrl-happy-pixie-town,3644521
bulk/tower-defense-theme/DST-TowerDefenseTheme_1.mp3,Tower Defense Theme,DST,CC0,https://opengameart.org/content/tower-defense-theme,7979070
bulk/wgs-music-14-years-too-fast/years_320_0.mp3,WGS Music #14 - Years Too Fast,Retimer,CC-BY 3.0,https://opengameart.org/content/wgs-music-14-years-too-fast,3293587
bulk/magic-tales-set/Kim Lightyear - Magic Tales_0.mp3,Magic Tales (Set),KLY,CC-BY 3.0,https://opengameart.org/content/magic-tales-set,4905617
bulk/magic-tales-set/Kim Lightyear - Magic Tales (Danger Zone Loop)_0.mp3,Magic Tales (Set),KLY,CC-BY 3.0,https://opengameart.org/content/magic-tales-set,3419485
bulk/magic-tales-set/Kim Lightyear - Magic Tales (Dear Diary Loop)_0.mp3,Magic Tales (Set),KLY,CC-BY 3.0,https://opengameart.org/content/magic-tales-set,1327645
bulk/magic-tales-set/Kim Lightyear - Magic Tales (Dear Diary Loop).wav,Magic Tales (Set),KLY,CC-BY 3.0,https://opengameart.org/content/magic-tales-set,6804448
bulk/magic-tales-set/Kim Lightyear - Magic Tales (Everything's Fine)_0.mp3,Magic Tales (Set),KLY,CC-BY 3.0,https://opengameart.org/content/magic-tales-set,3509633
bulk/magic-tales-set/Kim Lightyear - Magic Tales (Secrets Loop)_0.mp3,Magic Tales (Set),KLY,CC-BY 3.0,https://opengameart.org/content/magic-tales-set,1325725
bulk/city-loop-0/city-loop_0.mp3,City Loop,wipics,CC0; Public Domain,https://opengameart.org/content/city-loop-0,1358284
bulk/crow-mans-stage/crow man - Track 01 (Crow Man's Stage) FAST_0.ogg,"""Crow Man's Stage""",Spring Spring,CC0,https://opengameart.org/content/crow-mans-stage,2765454
bulk/magic-tales-set/Kim Lightyear - Magic Tales (Secrets Loop).wav,Magic Tales (Set),KLY,CC-BY 3.0,https://opengameart.org/content/magic-tales-set,6787584
